CreateTraining: width:11,height:11,type:RGB
Input: image:slika0.jpg, identity:0
Input: image:slika1.jpg, identity:9
Input: image:slika2.jpg, identity:8
Input: image:slika3.jpg, identity:/
Input: image:slika4.jpg, identity:6
Input: image:slika5.jpg, identity:7
Input: image:slika6.jpg, identity:0
Input: image:slika7.jpg, identity:-
Input: image:slika8.jpg, identity:8
Input: image:slika9.jpg, identity:9
Input: image:slika10.jpg, identity:2
Input: image:slika11.jpg, identity:0
Input: image:slika12.jpg, identity:9
Input: image:slika13.jpg, identity:7
Input: image:slika14.jpg, identity:/
Input: image:slika15.jpg, identity:2
Input: image:slika16.jpg, identity:0
Input: image:slika17.jpg, identity:1
Input: image:slika18.jpg, identity:-
Input: image:slika19.jpg, identity:0
Input: image:slika20.jpg, identity:5
Input: image:slika21.jpg, identity:0
Input: image:slika22.jpg, identity:0
Input: image:slika23.jpg, identity:9
Input: image:slika24.jpg, identity:5
Input: image:slika25.jpg, identity:/
Input: image:slika26.jpg, identity:2
Input: image:slika27.jpg, identity:2
Input: image:slika28.jpg, identity:5
Input: image:slika29.jpg, identity:-
Input: image:slika30.jpg, identity:9
Input: image:slika31.jpg, identity:6
Input: image:slika32.jpg, identity:1
Input: image:slika33.jpg, identity:0
Input: image:slika34.jpg, identity:9
Input: image:slika35.jpg, identity:2
Input: image:slika36.jpg, identity:/
Input: image:slika37.jpg, identity:6
Input: image:slika38.jpg, identity:1
Input: image:slika39.jpg, identity:9
Input: image:slika40.jpg, identity:-
Input: image:slika41.jpg, identity:4
Input: image:slika42.jpg, identity:3
Input: image:slika43.jpg, identity:3
Input: image:slika44.jpg, identity:0
Input: image:slika45.jpg, identity:9
Input: image:slika46.jpg, identity:1
Input: image:slika47.jpg, identity:/
Input: image:slika48.jpg, identity:8
Input: image:slika49.jpg, identity:8
Input: image:slika50.jpg, identity:5
Input: image:slika51.jpg, identity:-
Input: image:slika52.jpg, identity:3
Input: image:slika53.jpg, identity:7
Input: image:slika54.jpg, identity:2
Input: image:slika55.jpg, identity:0
Input: image:slika56.jpg, identity:9
Input: image:slika57.jpg, identity:9
Input: image:slika58.jpg, identity:/
Input: image:slika59.jpg, identity:1
Input: image:slika60.jpg, identity:2
Input: image:slika61.jpg, identity:3
Input: image:slika62.jpg, identity:-
Input: image:slika63.jpg, identity:4
Input: image:slika64.jpg, identity:5
Input: image:slika65.jpg, identity:6
Input: image:slika66.jpg, identity:0
Input: image:slika67.jpg, identity:9
Input: image:slika68.jpg, identity:5
Input: image:slika69.jpg, identity:/
Input: image:slika70.jpg, identity:7
Input: image:slika71.jpg, identity:4
Input: image:slika72.jpg, identity:1
Input: image:slika73.jpg, identity:-
Input: image:slika74.jpg, identity:5
Input: image:slika75.jpg, identity:0
Input: image:slika76.jpg, identity:6
Input: image:slika77.jpg, identity:0
Input: image:slika78.jpg, identity:9
Input: image:slika79.jpg, identity:7
Input: image:slika80.jpg, identity:/
Input: image:slika81.jpg, identity:3
Input: image:slika82.jpg, identity:5
Input: image:slika83.jpg, identity:4
Input: image:slika84.jpg, identity:-
Input: image:slika85.jpg, identity:8
Input: image:slika86.jpg, identity:2
Input: image:slika87.jpg, identity:1
Input: image:slika88.jpg, identity:0
Input: image:slika89.jpg, identity:9
Input: image:slika90.jpg, identity:2
Input: image:slika91.jpg, identity:/
Input: image:slika92.jpg, identity:7
Input: image:slika93.jpg, identity:8
Input: image:slika94.jpg, identity:0
Input: image:slika95.jpg, identity:-
Input: image:slika96.jpg, identity:6
Input: image:slika97.jpg, identity:3
Input: image:slika98.jpg, identity:4
Input: image:slika99.jpg, identity:0
Input: image:slika100.jpg, identity:9
Input: image:slika101.jpg, identity:5
Input: image:slika102.jpg, identity:/
Input: image:slika103.jpg, identity:1
Input: image:slika104.jpg, identity:2
Input: image:slika105.jpg, identity:3
Input: image:slika106.jpg, identity:-
Input: image:slika107.jpg, identity:4
Input: image:slika108.jpg, identity:5
Input: image:slika109.jpg, identity:6
Input: image:slika110.jpg, identity:0
Input: image:slika111.jpg, identity:9
Input: image:slika112.jpg, identity:7
Input: image:slika113.jpg, identity:/
Input: image:slika114.jpg, identity:5
Input: image:slika115.jpg, identity:0
Input: image:slika116.jpg, identity:3
Input: image:slika117.jpg, identity:-
Input: image:slika118.jpg, identity:8
Input: image:slika119.jpg, identity:2
Input: image:slika120.jpg, identity:6
Network: hidden1:78, hidden2:27
Train: Mode:console, Minutes:1, StrategyError:0.5,StrategyCycles:150
Whatis: image:capture2test.PNG
Whatis: image:BodoniMT095741506.PNG
Whatis: image:Capture225961.PNG
Whatis: image:BodoniMT092843608.PNG
Whatis: image:BrushScript099238617.PNG
Whatis: image:BritannicBold095123456.PNG
